Disco DORSIA,DORSIA,,,,A.  MOREAU DE JUSTO 2092
Disco LA MADELEINE,"LA MADELEINE, madeleine",,,,A.  MOREAU DE JUSTO 102/112
Disco LA CITY,LA CITY,,,,AV. ALVAREZ THOMAS 1391/93
Disco BRUJAS,BRUJAS,,,,J.L. BORGES 1640
Disco CHAPA BAR(EX GALLERY),"chapa bar, gallery",,,,AZCUENAGA 1775 1
Disco UNI CLUB,UNI CLUB,,,,GUARDIA VIEJA 3360
Disco POR VOS BS AS,"POR VOS BS AS, por vos buenos aires",,,,BALCARCE  563 P.B
Disco LO DE CELIA,LO DE CELIA,,,,HUMBERTO PRIMO 1783 1P
Disco CONTRAMANO,CONTRAMANO,,,,RODIGUEZ PEÐA  1082 PB
Disco KIMIA,KIMIA,,,,SANTA FE  4999
Disco KORY MEGADISCO,"KORY MEGADISCO, megadisco, kory",,,,AV. SAENZ 459
Disco SEU DISCO,SEU DISCO,,,,AV. BOYACA  28
Disco KIKA,KIKA,,,,HONDURAS 5339/47
Disco LA VENTANA,LA VENTANA,,,,BALCARCE  425/31
Disco COCOLICHE,COCOLICHE,,,,AV. RIVADAVIA 878
Disco LOCOS X EL FUTBOL,"LOCOS X EL FUTBOL, locos por el futbol",,,,VICENTE LOPEZ  2056/69
Disco JET LOUNGE,JET LOUNGE,,,,AV.RAFAEL OBLIGADO 4801
Disco BLACK,BLACK,,,,AYACUCHO 1981
Disco PORTO SOHO,PORTO SOHO,,,,SCALABRINI ORTIZ 1425/29
Disco ACQUA LOUNGE,"ACQUA LOUNGE, acqua",,,,JUANA MANSO 305 PB
Disco JADE RESTO,"JADE RESTO, jade",,,,JURAMENTO  1531/43
Disco PRIVILEGE BA,"PRIVILEGE BA, privilege",,,,AV. RAFAEL OBLIGADO 1221
Disco MAIS-UM,"MAIS-UM, maisum",,,,AV. JUAN B. ALBERDI 2829/39
Disco VOX (exBED BAIRES),"VOX, bed baires",,,,AV. HIPOLITO IRIGOYEN 968
Disco MORENA,MORENA,,,,AV. RIVADAVIA  7217
Disco THE SUB,THE SUB,,,,AV. CËRDOBA  543
Disco CLUB 947,CLUB 947,,,,CHACABUCO 947/55
Disco LIQUID,LIQUID,,,,AV. SANTA FE  3651
Disco MUSIK- CLUB M,"MUSIK-CLUB M, musik, club m",,,,NICETO VEGA 5681/99
Disco LIV (ex-HUMMER),"LIV (ex-HUMMER), liv, hummer",,,,AV. JUAN B. JUSTO  1658
